Time,Value,State,Quality,Reason,Status,Suppression Type
2025-12-17 07:28:07.494,-.01 In.,Low Low,Good,Value Change,,
2025-12-17 07:07:57.176,-.02 In.,Low Low,Good,Value Change,,
2025-12-17 06:57:27.078,-.02 In.,Low Low,Good,Value Change,,
2025-12-17 06:28:34.794,-.02 In.,Low Low,Good,Value Change,,
2025-12-17 02:26:26.151,-.02 In.,Low Low,Good,Value Change,,
2025-12-17 01:56:25.040,-.01 In.,Low Low,Good,Value Change,,
2025-12-17 00:26:51.064,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 12:59:01.175,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 12:59:00.260,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 12:28:59.838,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 11:58:58.798,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 11:28:57.956,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 10:58:56.509,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 10:58:55.894,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 10:28:55.654,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 10:28:54.837,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 09:58:54.445,-.03 In.,Low Low,Good,Value Change,,
2025-12-16 09:28:53.544,-.03 In.,Low Low,Good,Value Change,,
2025-12-16 09:28:52.636,-.03 In.,Low Low,Good,Value Change,,
2025-12-16 08:58:54.790,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 08:58:51.568,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 08:28:51.459,-.03 In.,Low Low,Good,Value Change,,
2025-12-16 07:58:55.775,-.03 In.,Low Low,Good,Value Change,,
2025-12-16 07:58:49.436,-.03 In.,Low Low,Good,Value Change,,
2025-12-16 07:28:49.140,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 07:28:48.330,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 06:58:48.006,-.03 In.,Low Low,Good,Value Change,,
2025-12-16 06:58:47.290,-.03 In.,Low Low,Good,Value Change,,
2025-12-16 06:29:16.197,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 05:58:51.162,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 05:34:30.341,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 05:34:18.970,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 05:28:43.780,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 05:28:43.780,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 04:58:47.473,-.03 In.,Low Low,Good,Value Change,,
2025-12-16 04:28:48.605,-.03 In.,Low Low,Good,Value Change,,
2025-12-16 04:28:44.477,-.03 In.,Low Low,Good,Value Change,,
2025-12-16 03:58:45.312,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 03:28:44.535,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 02:58:41.816,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 02:28:40.763,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 01:58:39.816,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 01:28:38.973,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 00:58:37.866,-.02 In.,Low Low,Good,Value Change,,
2025-12-16 00:28:36.630,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 23:58:35.654,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 23:28:34.362,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 22:58:33.424,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 22:28:32.467,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 21:58:31.424,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 21:28:30.271,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 20:58:29.114,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 20:28:28.166,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 19:58:27.011,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 19:28:25.862,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 18:58:24.906,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 18:58:23.990,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 18:28:23.760,-.03 In.,Low Low,Good,Value Change,,
2025-12-15 18:28:22.944,-.03 In.,Low Low,Good,Value Change,,
2025-12-15 17:58:22.716,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 17:28:21.671,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 16:58:20.722,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 16:58:19.703,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 16:28:19.371,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 15:58:18.323,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 15:28:17.179,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 14:58:33.515,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 14:58:15.342,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 14:28:16.176,-.03 In.,Low Low,Good,Value Change,,
2025-12-15 14:28:14.264,-.03 In.,Low Low,Good,Value Change,,
2025-12-15 13:58:14.024,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 13:58:13.209,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 13:28:12.879,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 12:58:16.500,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 12:58:11.065,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 12:28:10.750,-.04 In.,Low Low,Good,Value Change,,
2025-12-15 12:28:09.940,-.04 In.,Low Low,Good,Value Change,,
2025-12-15 11:58:09.798,-.05 In.,Low Low,Good,Value Change,,
2025-12-15 11:58:08.883,-.05 In.,Low Low,Good,Value Change,,
2025-12-15 11:28:08.555,-.03 In.,Low Low,Good,Value Change,,
2025-12-15 11:28:07.839,-.03 In.,Low Low,Good,Value Change,,
2025-12-15 10:58:07.496,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 10:58:06.782,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 10:28:06.449,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 10:28:05.734,-.02 In.,Low Low,Good,Value Change,,
2025-12-15 09:58:05.393,-.03 In.,Low Low,Good,Value Change,,
2025-12-15 09:28:04.292,-.03 In.,Low Low,Good,Value Change,,
2025-12-15 09:28:03.484,-.03 In.,Low Low,Good,Value Change,,
2025-12-15 08:58:03.124,-.04 In.,Low Low,Good,Value Change,,
2025-12-15 08:28:02.086,-.04 In.,Low Low,Good,Value Change,,
2025-12-15 07:58:01.232,-.04 In.,Low Low,Good,Value Change,,
