Time,Value,State,Quality,Reason,Status,Suppression Type
2025-12-01 21:00:00,201.28 Ft.,High,Good,Timed Report,,
2025-12-01 18:00:00,201.30 Ft.,High,Good,Timed Report,,
2025-12-01 16:00:00,201.32 Ft.,High,Good,Timed Report,,
2025-12-01 15:00:00,201.33 Ft.,High,Good,Timed Report,,
2025-12-01 13:45:00,201.35 Ft.,High,Good,Timed Report,,
2025-11-26 17:00:00,201.10 Ft.,High,Good,Timed Report,,
2025-11-26 15:00:00,201.12 Ft.,High,Good,Timed Report,,
2025-11-26 13:00:00,201.13 Ft.,High,Good,Timed Report,,
2025-11-26 12:00:00,201.14 Ft.,High,Good,Timed Report,,
2025-11-26 10:00:00,201.15 Ft.,High,Good,Timed Report,,
2025-11-26 08:00:00,201.17 Ft.,High,Good,Timed Report,,
2025-11-26 06:00:00,201.18 Ft.,High,Good,Timed Report,,
2025-11-26 04:00:00,201.20 Ft.,High,Good,Timed Report,,
2025-11-26 02:00:00,201.22 Ft.,High,Good,Timed Report,,
2025-11-26 01:00:00,201.23 Ft.,High,Good,Timed Report,,
2025-11-25 23:00:00,201.24 Ft.,High,Good,Timed Report,,
2025-11-25 22:00:00,201.26 Ft.,High,Good,Timed Report,,
2025-11-25 20:00:00,201.27 Ft.,High,Good,Timed Report,,
2025-11-25 19:00:00,201.28 Ft.,High,Good,Timed Report,,
2025-11-25 18:00:00,201.29 Ft.,High,Good,Timed Report,,
2025-11-25 16:00:00,201.30 Ft.,High,Good,Timed Report,,
2025-11-25 15:00:00,201.32 Ft.,High,Good,Timed Report,,
2025-11-25 14:00:00,201.36 Ft.,High,Good,Timed Report,,
2025-11-25 12:00:00,201.38 Ft.,High,Good,Timed Report,,
2025-11-25 11:00:00,201.39 Ft.,High,Good,Timed Report,,
2025-11-25 09:00:00,201.40 Ft.,High,Good,Timed Report,,
2025-11-25 05:15:00,201.42 Ft.,High,Good,Timed Report,,
2025-11-25 00:30:00,201.43 Ft.,High,Good,Timed Report,,
2025-11-24 02:00:00,201.25 Ft.,High,Good,Timed Report,,
2025-11-24 01:00:00,201.28 Ft.,High,Good,Timed Report,,
2025-11-24 00:00:00,201.29 Ft.,High,Good,Timed Report,,
2025-11-23 23:00:00,201.31 Ft.,High,Good,Timed Report,,
2025-11-23 22:00:00,201.34 Ft.,High,Good,Timed Report,,
2025-11-23 21:00:00,201.36 Ft.,High,Good,Timed Report,,
2025-11-23 20:00:00,201.38 Ft.,High,Good,Timed Report,,
2025-11-23 18:00:00,201.40 Ft.,High,Good,Timed Report,,
2025-11-23 14:00:00,201.42 Ft.,High,Good,Timed Report,,
2025-11-23 11:00:00,201.44 Ft.,High,Good,Timed Report,,
2025-11-23 09:00:00,201.47 Ft.,High,Good,Timed Report,,
2025-11-22 23:00:00,201.46 Ft.,High,Good,Timed Report,,
2025-11-22 20:00:00,201.48 Ft.,High,Good,Timed Report,,
2025-11-22 10:00:00,201.49 Ft.,High,Good,Timed Report,,
2025-11-22 08:00:00,201.48 Ft.,High,Good,Timed Report,,
2025-11-22 06:00:00,201.45 Ft.,High,Good,Timed Report,,
2025-11-22 05:00:00,201.39 Ft.,High,Good,Timed Report,,
2025-11-22 04:00:00,200.90 Ft.,High,Good,Timed Report,,
2025-11-22 01:00:00,200.70 Ft.,High,Good,Timed Report,,
2025-11-21 23:00:00,200.68 Ft.,High,Good,Timed Report,,
2025-11-21 21:00:00,200.67 Ft.,High,Good,Timed Report,,
2025-11-21 20:00:00,200.62 Ft.,High,Good,Timed Report,,
2025-11-21 19:00:00,200.56 Ft.,High,Good,Timed Report,,
2025-11-21 18:00:00,200.52 Ft.,High,Good,Timed Report,,
2025-11-21 14:00:00,200.39 Ft.,High,Good,Timed Report,,
2025-11-21 13:00:00,200.40 Ft.,High,Good,Timed Report,,
2025-11-21 08:00:00,200.39 Ft.,High,Good,Timed Report,,
2025-11-20 14:00:00,200.38 Ft.,High,Good,Timed Report,,
2025-11-20 12:00:00,200.39 Ft.,High,Good,Timed Report,,
2025-11-18 12:30:00,200.38 Ft.,High,Good,Timed Report,,
2025-11-18 10:30:00,200.37 Ft.,High,Good,Timed Report,,
2025-11-18 08:30:00,200.38 Ft.,High,Good,Timed Report,,
2025-11-17 13:30:00,200.37 Ft.,High,Good,Timed Report,,
2025-11-16 08:30:00,200.35 Ft.,High,Good,Timed Report,,
2025-11-15 15:30:00,200.34 Ft.,High,Good,Timed Report,,
2025-11-15 09:30:00,200.35 Ft.,High,Good,Timed Report,,
2025-11-15 02:30:00,200.34 Ft.,High,Good,Timed Report,,
2025-11-14 14:30:00,200.35 Ft.,High,Good,Timed Report,,
2025-11-14 12:30:00,200.36 Ft.,High,Good,Timed Report,,
2025-11-14 11:30:00,200.35 Ft.,High,Good,Timed Report,,
2025-11-14 10:30:00,200.34 Ft.,High,Good,Timed Report,,
2025-11-14 08:30:00,200.35 Ft.,High,Good,Timed Report,,
2025-11-13 14:30:00,200.34 Ft.,High,Good,Timed Report,,
2025-11-12 09:30:00,200.35 Ft.,High,Good,Timed Report,,
2025-11-11 01:30:00,200.34 Ft.,High,Good,Timed Report,,
2025-11-10 16:30:00,200.33 Ft.,High,Good,Timed Report,,
2025-11-10 14:30:00,200.35 Ft.,High,Good,Timed Report,,
2025-11-10 12:30:00,200.36 Ft.,High,Good,Timed Report,,
2025-11-10 11:30:00,200.35 Ft.,High,Good,Timed Report,,
2025-11-10 10:30:00,200.34 Ft.,High,Good,Timed Report,,
2025-11-10 08:30:00,200.36 Ft.,High,Good,Timed Report,,
2025-11-10 04:30:00,200.34 Ft.,High,Good,Timed Report,,
2025-11-09 23:30:00,200.35 Ft.,High,Good,Timed Report,,
2025-11-09 20:30:00,200.34 Ft.,High,Good,Timed Report,,
2025-11-09 16:30:00,200.35 Ft.,High,Good,Timed Report,,
2025-11-09 08:30:00,200.37 Ft.,High,Good,Timed Report,,
2025-11-09 06:30:00,200.36 Ft.,High,Good,Timed Report,,
2025-11-09 02:30:00,200.37 Ft.,High,Good,Timed Report,,
2025-11-08 17:00:00,200.35 Ft.,High,Good,Timed Report,,
2025-11-08 12:00:00,200.36 Ft.,High,Good,Timed Report,,
2025-11-07 15:00:00,200.35 Ft.,High,Good,Timed Report,,
2025-11-07 12:00:00,200.36 Ft.,High,Good,Timed Report,,
2025-11-06 23:00:00,200.34 Ft.,High,Good,Timed Report,,
2025-11-06 09:00:00,200.35 Ft.,High,Good,Timed Report,,
2025-11-05 15:00:00,200.34 Ft.,High,Good,Timed Report,,
2025-11-05 09:00:00,200.35 Ft.,High,Good,Timed Report,,
2025-11-04 15:00:00,200.33 Ft.,High,Good,Timed Report,,
2025-11-04 09:00:00,200.34 Ft.,High,Good,Timed Report,,
2025-11-04 04:00:00,200.33 Ft.,High,Good,Timed Report,,
2025-11-03 15:00:00,200.34 Ft.,High,Good,Timed Report,,
2025-11-03 13:00:00,200.36 Ft.,High,Good,Timed Report,,
2025-11-02 16:00:00,200.35 Ft.,High,Good,Timed Report,,
2025-11-02 12:00:00,200.36 Ft.,High,Good,Timed Report,,
2025-11-02 11:00:00,200.35 Ft.,High,Good,Timed Report,,
2025-11-02 09:00:00,200.36 Ft.,High,Good,Timed Report,,
2025-10-31 16:00:00,200.35 Ft.,High,Good,Timed Report,,
2025-10-31 13:00:00,200.37 Ft.,High,Good,Timed Report,,
2025-10-30 17:00:00,200.35 Ft.,High,Good,Timed Report,,
2025-10-29 19:00:00,200.37 Ft.,High,Good,Timed Report,,
2025-10-29 17:00:00,200.38 Ft.,High,Good,Timed Report,,
2025-10-29 16:00:00,200.40 Ft.,High,Good,Timed Report,,
2025-10-29 14:00:00,200.42 Ft.,High,Good,Timed Report,,
2025-10-29 10:00:00,200.44 Ft.,High,Good,Timed Report,,
2025-10-29 06:00:00,200.42 Ft.,High,Good,Timed Report,,
2025-10-29 03:00:00,200.43 Ft.,High,Good,Timed Report,,
2025-10-29 02:00:00,200.45 Ft.,High,Good,Timed Report,,
2025-10-29 00:00:00,200.47 Ft.,High,Good,Timed Report,,
2025-10-28 23:00:00,200.49 Ft.,High,Good,Timed Report,,
2025-10-28 21:00:00,200.48 Ft.,High,Good,Timed Report,,
2025-10-28 20:00:00,200.50 Ft.,High,Good,Timed Report,,
2025-10-28 15:00:00,200.51 Ft.,High,Good,Timed Report,,
2025-10-28 13:00:00,200.45 Ft.,High,Good,Timed Report,,
2025-10-28 10:00:00,200.46 Ft.,High,Good,Timed Report,,
2025-10-28 06:00:00,200.45 Ft.,High,Good,Timed Report,,
2025-10-28 00:00:00,200.46 Ft.,High,Good,Timed Report,,
2025-10-27 20:00:00,200.47 Ft.,High,Good,Timed Report,,
2025-10-27 18:00:00,200.49 Ft.,High,Good,Timed Report,,
2025-10-27 16:00:00,200.50 Ft.,High,Good,Timed Report,,
2025-10-27 01:00:00,200.51 Ft.,High,Good,Timed Report,,
2025-10-26 20:00:00,200.52 Ft.,High,Good,Timed Report,,
2025-10-26 18:00:00,200.53 Ft.,High,Good,Timed Report,,
2025-10-26 16:00:00,200.54 Ft.,High,Good,Timed Report,,
2025-10-26 15:00:00,200.55 Ft.,High,Good,Timed Report,,
2025-10-26 01:00:00,200.57 Ft.,High,Good,Timed Report,,
2025-10-26 00:00:00,200.56 Ft.,High,Good,Timed Report,,
2025-10-25 23:00:00,200.50 Ft.,High,Good,Timed Report,,
2025-10-25 21:00:00,200.48 Ft.,High,Good,Timed Report,,
2025-10-25 19:00:00,200.41 Ft.,High,Good,Timed Report,,
2025-10-25 08:00:00,200.39 Ft.,High,Good,Timed Report,,
2025-10-25 04:00:00,200.38 Ft.,High,Good,Timed Report,,
2025-10-25 03:00:00,200.37 Ft.,High,Good,Timed Report,,
2025-10-25 02:00:00,200.31 Ft.,High,Good,Timed Report,,
2025-10-24 15:00:00,200.27 Ft.,High,Good,Timed Report,,
2025-10-24 13:00:00,200.29 Ft.,High,Good,Timed Report,,
2025-10-24 12:00:00,200.27 Ft.,High,Good,Timed Report,,
2025-10-24 10:00:00,200.28 Ft.,High,Good,Timed Report,,
2025-10-23 15:15:00,200.27 Ft.,High,Good,Timed Report,,
2025-10-23 10:15:00,200.28 Ft.,High,Good,Timed Report,,
2025-10-22 22:00:00,200.27 Ft.,High,Good,Timed Report,,
2025-10-22 10:00:00,200.28 Ft.,High,Good,Timed Report,,
2025-10-22 07:00:00,200.27 Ft.,High,Good,Timed Report,,
2025-10-21 09:15:00,200.28 Ft.,High,Good,Timed Report,,
2025-10-20 15:15:00,200.26 Ft.,High,Good,Timed Report,,
2025-10-20 14:15:00,200.28 Ft.,High,Good,Timed Report,,
2025-10-20 13:45:00,200.27 Ft.,High,Good,Timed Report,,
2025-10-20 12:15:00,200.28 Ft.,High,Good,Timed Report,,
2025-10-20 11:45:00,200.27 Ft.,High,Good,Timed Report,,
2025-10-20 10:45:00,200.28 Ft.,High,Good,Timed Report,,
2025-10-20 08:45:00,200.27 Ft.,High,Good,Timed Report,,
2025-10-15 16:45:00,200.26 Ft.,High,Good,Timed Report,,
2025-10-15 10:15:00,200.27 Ft.,High,Good,Timed Report,,
2025-10-15 06:15:00,200.26 Ft.,High,Good,Timed Report,,
2025-10-15 05:15:00,200.27 Ft.,High,Good,Timed Report,,
2025-10-15 04:45:00,200.29 Ft.,High,Good,Timed Report,,
2025-10-15 04:15:00,200.31 Ft.,High,Good,Timed Report,,
2025-10-15 03:45:00,200.34 Ft.,High,Good,Timed Report,,
2025-10-15 03:15:00,200.36 Ft.,High,Good,Timed Report,,
2025-10-15 02:45:00,200.38 Ft.,High,Good,Timed Report,,
