Time,Value,State,Quality,Reason,Status,Suppression Type
2025-12-10 01:15:00,203.51 Ft.,High,Good,Timed Report,,
2025-12-09 22:15:00,203.53 Ft.,High,Good,Timed Report,,
2025-12-09 18:15:00,203.55 Ft.,High,Good,Timed Report,,
2025-12-09 17:15:00,203.52 Ft.,High,Good,Timed Report,,
2025-12-09 16:15:00,203.48 Ft.,High,Good,Timed Report,,
2025-12-09 14:15:00,203.44 Ft.,High,Good,Timed Report,,
2025-12-09 13:15:00,203.41 Ft.,High,Good,Timed Report,,
2025-12-09 12:15:00,203.39 Ft.,High,Good,Timed Report,,
2025-12-09 09:15:00,203.37 Ft.,High,Good,Timed Report,,
2025-12-09 05:30:00,203.38 Ft.,High,Good,Timed Report,,
2025-12-09 00:30:00,203.39 Ft.,High,Good,Timed Report,,
2025-12-08 22:30:00,203.37 Ft.,High,Good,Timed Report,,
2025-12-08 14:30:00,203.38 Ft.,High,Good,Timed Report,,
2025-12-08 13:30:00,203.40 Ft.,High,Good,Timed Report,,
2025-12-08 12:45:00,203.38 Ft.,High,Good,Timed Report,,
2025-12-08 11:45:00,203.40 Ft.,High,Good,Timed Report,,
2025-12-08 10:30:00,203.42 Ft.,High,Good,Timed Report,,
2025-12-08 03:30:00,203.40 Ft.,High,Good,Timed Report,,
2025-12-07 23:30:00,203.38 Ft.,High,Good,Timed Report,,
2025-12-07 21:30:00,203.40 Ft.,High,Good,Timed Report,,
2025-12-07 20:30:00,203.38 Ft.,High,Good,Timed Report,,
2025-12-07 19:30:00,203.37 Ft.,High,Good,Timed Report,,
2025-12-07 16:30:00,203.40 Ft.,High,Good,Timed Report,,
2025-12-07 13:30:00,203.38 Ft.,High,Good,Timed Report,,
2025-12-07 07:30:00,203.34 Ft.,High,Good,Timed Report,,
2025-12-07 03:30:00,203.33 Ft.,High,Good,Timed Report,,
2025-12-06 19:30:00,203.32 Ft.,High,Good,Timed Report,,
2025-12-06 14:30:00,203.33 Ft.,High,Good,Timed Report,,
2025-12-06 12:30:00,203.34 Ft.,High,Good,Timed Report,,
2025-12-06 11:30:00,203.35 Ft.,High,Good,Timed Report,,
2025-12-06 09:30:00,203.34 Ft.,High,Good,Timed Report,,
2025-12-06 07:30:00,203.35 Ft.,High,Good,Timed Report,,
