timestamp,temperature,windSpeed,shortForecast
2026-02-27 20:00:00-06:00,70,5 mph,Clear
2026-02-27 21:00:00-06:00,67,5 mph,Clear
2026-02-27 22:00:00-06:00,65,5 mph,Mostly Clear
2026-02-27 23:00:00-06:00,64,5 mph,Mostly Clear
2026-02-28 00:00:00-06:00,63,5 mph,Mostly Clear
2026-02-28 01:00:00-06:00,62,5 mph,Mostly Clear
2026-02-28 02:00:00-06:00,60,5 mph,Mostly Clear
2026-02-28 03:00:00-06:00,59,5 mph,Mostly Clear
2026-02-28 04:00:00-06:00,58,5 mph,Mostly Clear
2026-02-28 05:00:00-06:00,58,0 mph,Mostly Clear
2026-02-28 06:00:00-06:00,59,0 mph,Sunny
2026-02-28 07:00:00-06:00,60,0 mph,Sunny
2026-02-28 08:00:00-06:00,62,5 mph,Sunny
2026-02-28 09:00:00-06:00,65,5 mph,Sunny
2026-02-28 10:00:00-06:00,69,5 mph,Sunny
2026-02-28 11:00:00-06:00,73,5 mph,Sunny
2026-02-28 12:00:00-06:00,77,5 mph,Sunny
2026-02-28 13:00:00-06:00,79,5 mph,Sunny
2026-02-28 14:00:00-06:00,80,10 mph,Sunny
2026-02-28 15:00:00-06:00,80,10 mph,Sunny
2026-02-28 16:00:00-06:00,79,10 mph,Sunny
2026-02-28 17:00:00-06:00,77,10 mph,Sunny
2026-02-28 18:00:00-06:00,75,10 mph,Mostly Clear
2026-02-28 19:00:00-06:00,72,10 mph,Mostly Clear
2026-02-28 20:00:00-06:00,69,10 mph,Mostly Clear
2026-02-28 21:00:00-06:00,67,10 mph,Mostly Clear
2026-02-28 22:00:00-06:00,66,5 mph,Mostly Clear
2026-02-28 23:00:00-06:00,65,5 mph,Mostly Clear
2026-03-01 00:00:00-06:00,65,5 mph,Partly Cloudy
2026-03-01 01:00:00-06:00,64,5 mph,Partly Cloudy
2026-03-01 02:00:00-06:00,64,5 mph,Partly Cloudy
2026-03-01 03:00:00-06:00,63,5 mph,Partly Cloudy
2026-03-01 04:00:00-06:00,62,5 mph,Partly Cloudy
2026-03-01 05:00:00-06:00,62,5 mph,Mostly Cloudy
2026-03-01 06:00:00-06:00,62,5 mph,Partly Sunny
2026-03-01 07:00:00-06:00,63,5 mph,Partly Sunny
2026-03-01 08:00:00-06:00,65,5 mph,Partly Sunny
2026-03-01 09:00:00-06:00,68,5 mph,Mostly Sunny
2026-03-01 10:00:00-06:00,71,10 mph,Mostly Sunny
2026-03-01 11:00:00-06:00,74,10 mph,Mostly Sunny
2026-03-01 12:00:00-06:00,77,10 mph,Mostly Sunny
2026-03-01 13:00:00-06:00,78,10 mph,Sunny
2026-03-01 14:00:00-06:00,79,10 mph,Sunny
2026-03-01 15:00:00-06:00,79,10 mph,Sunny
2026-03-01 16:00:00-06:00,78,10 mph,Sunny
2026-03-01 17:00:00-06:00,77,10 mph,Sunny
2026-03-01 18:00:00-06:00,74,10 mph,Mostly Clear
2026-03-01 19:00:00-06:00,72,10 mph,Mostly Clear
2026-03-01 20:00:00-06:00,70,10 mph,Mostly Clear
2026-03-01 21:00:00-06:00,68,10 mph,Partly Cloudy
2026-03-01 22:00:00-06:00,67,10 mph,Partly Cloudy
2026-03-01 23:00:00-06:00,66,10 mph,Partly Cloudy
2026-03-02 00:00:00-06:00,66,5 mph,Partly Cloudy
