Time,Value,State,Quality,Reason,Status,Suppression Type
2025-10-26 00:38:58.172,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:38:24.678,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:38:09.731,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:38:09.507,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:37:39.706,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:37:24.667,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:37:24.187,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:36:54.678,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:36:39.625,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:36:39.149,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:36:09.638,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:35:54.597,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:35:54.108,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:35:25.894,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:35:12.919,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:35:12.874,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:34:41.098,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:34:24.598,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:34:24.107,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:33:54.599,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:33:47.153,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:33:47.137,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:33:10.205,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:32:54.854,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:32:54.625,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:32:29.061,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:32:09.558,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:32:09.067,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:31:48.111,.53 In.,High High,Good,Timed Report,,
2025-10-26 00:31:27.809,.53 In.,High High,Good,Timed Report,,
